county_number,County Name,composite,literacy,numeracy,alg_1,alg_2,bio,chem,ela,eng_1,eng_2,eng_3,math,science,enrollment,black,hispanic,native,el,swd,ed,expenditures,act_composite,chronic_abs,suspended,expelled,grad,est_count_total,est_count_total_never_married,est_count_total_now_married_except_separated,est_count_total_divorced,est_count_total_separated,est_count_total_widowed,est_count_total_born_in_state_of_residence,est_count_total_born_in_state_of_residence_never_married,school_year,k_8_attendance_rate_pct,k_8_promotion_rate_pct,attendance_rate_pct,never_married_per_capita,married_not_sep_per_capita,divorced_per_capita,separated_per_capita,widowed_per_capita,born_in_state_of_residence_per_capita,born_in_state_of_residence_never_married_per_capita,graduate_category
43,Dickson County,1,1,1,68.4,56.6,69.6,42.8,52.2,82.8,71.7,44.5,59.6,75.8,8120,8.1,4.9,0.6,1.6,16.2,53.1,8472.8,21,12.2,0.5,0,90.7,40545,10449,21289,5370,834,2603,25989,7551,2015,95,99.2,93.4,0.2577137,0.5250709,0.13244543,0.020569737,0.06420027,0.6409915,0.1862375,Medium
45,Dyer County,5,5,5,88.4,77.7,80.8,58,54.7,75,68.5,54.3,63.8,73.4,3739,7.1,3.1,0.2,0.1,11.1,60.1,8483,21.3,9.6,0,0,95,30459,7159,15746,4592,608,2354,20755,4965,2015,95.4,99.3,94.2,0.2350373,0.5169572,0.15076004,0.019961259,0.07728422,0.6814078,0.163006,High
45,Dyer County,5,5,5,66.4,67.6,69.4,49.7,46,70.5,67.2,22.5,57.4,60.8,2456,43.8,5,0.3,0.1,15.9,72.5,9968.2,21.7,12.4,9.2,0,83.2,30459,7159,15746,4592,608,2354,20755,4965,2015,95.5,99.6,94.5,0.2350373,0.5169572,0.15076004,0.019961259,0.07728422,0.6814078,0.163006,Low
47,Fayette County,5,5,2,39.7,14.7,56.1,20.2,32.6,58.9,53.2,35.4,36.1,41.1,3220,58.8,5,0.1,2.3,13.9,80.6,9125.9,16.6,14.5,12.9,0,80.6,31973,7901,18042,3366,704,1960,21380,6441,2015,94.3,95.71616,91.6,0.2471148,0.5642886,0.10527633,0.022018578,0.06130172,0.6686892,0.2014512,Low
49,Fentress County,5,3,5,81.4,30.4,100,62.1,43.6,73.8,71.7,52.9,51.1,59.5,2092,0.5,1.2,0.1,0.5,16.5,74.7,9043.8,17.4,11.9,0,0,93.8,14794,3202,7843,2086,326,1337,10261,2378,2015,95,96.4,91.6,0.2164391,0.5301474,0.14100311,0.022035961,0.09037448,0.693592,0.1607408,Medium
49,Fentress County,5,5,5,79.5,69.8,70.4,24.3,59.61432,72.4,66,52.4,75.45462,77.20101,1912.25,0.3,1.3,0.5,0.2,10,61.9,8159.345,18.56057,20.8,0,0,81.3,14794,3202,7843,2086,326,1337,10261,2378,2015,96.98127,100,92.80486,0.2164391,0.5301474,0.14100311,0.022035961,0.09037448,0.693592,0.1607408,Low
51,Franklin County,2,2,1,64.5,53,61,29.7,42.2,71.2,62.6,41.2,45.8,58.2,5276,7.1,4.5,0.4,1,15.2,57.7,8610.1,18.7,12.8,4.1,0,89.1,34026,8214,17925,4618,767,2502,20456,4750,2015,95.1,99,93.6,0.2414036,0.526803,0.13571974,0.022541586,0.073532,0.6011873,0.1395991,Low
53,Gibson County,1,2,1,86.2,41.7,35.9,41.44609,26.6,53.1,41.4,19,38.4,43.8,1018,75.3,4.3,0.2,2.3,16.3,97.9,11121.5,15.9,17.4,0.4,0.1,68.5,39551,9510,19837,5680,859,3665,29401,7606,2015,93.9,97.7,94.8,0.240449,0.501555,0.14361205,0.021718793,0.09266517,0.7433693,0.1923087,Low
53,Gibson County,5,5,5,77.2,70.5,84.3,56.9,49.3,76,65,49.6,69.4,71.8,1888,27.2,3,0.4,0.6,17.2,62.9,8749.8,20.6,10.4,1.4,0,96.8,39551,9510,19837,5680,859,3665,29401,7606,2015,97.9,100,93.7,0.240449,0.501555,0.14361205,0.021718793,0.09266517,0.7433693,0.1923087,High
53,Gibson County,5,5,5,91.6,84.7,75.6,64.5,44.6,82.6,76,50.6,62.9,53.6,1278,28.2,6,0,0.1,12.7,66.1,8916.6,18.6,10.5,2.8,0,83.5,39551,9510,19837,5680,859,3665,29401,7606,2015,95.2,99.9,93.9,0.240449,0.501555,0.14361205,0.021718793,0.09266517,0.7433693,0.1923087,Low
